UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root         1     0     1  0    1 20:37 ?        00:00:06 /sbin/init
root         2     0     2  0    1 20:37 ?        00:00:00 [kthreadd]
root         4     2     4  0    1 20:37 ?        00:00:00 [kworker/0:0H]
root         6     2     6  0    1 20:37 ?        00:00:00 [mm_percpu_wq]
root         7     2     7  0    1 20:37 ?        00:00:00 [ksoftirqd/0]
root         8     2     8  0    1 20:37 ?        00:00:06 [rcu_sched]
root         9     2     9  0    1 20:37 ?        00:00:00 [rcu_bh]
root        10     2    10  0    1 20:37 ?        00:00:00 [migration/0]
root        11     2    11  0    1 20:37 ?        00:00:00 [watchdog/0]
root        12     2    12  0    1 20:37 ?        00:00:00 [cpuhp/0]
root        13     2    13  0    1 20:37 ?        00:00:00 [cpuhp/1]
root        14     2    14  0    1 20:37 ?        00:00:00 [watchdog/1]
root        15     2    15  0    1 20:37 ?        00:00:00 [migration/1]
root        16     2    16  0    1 20:37 ?        00:00:00 [ksoftirqd/1]
root        18     2    18  0    1 20:37 ?        00:00:00 [kworker/1:0H]
root        19     2    19  0    1 20:37 ?        00:00:00 [cpuhp/2]
root        20     2    20  0    1 20:37 ?        00:00:00 [watchdog/2]
root        21     2    21  0    1 20:37 ?        00:00:00 [migration/2]
root        22     2    22  0    1 20:37 ?        00:00:00 [ksoftirqd/2]
root        24     2    24  0    1 20:37 ?        00:00:00 [kworker/2:0H]
root        25     2    25  0    1 20:37 ?        00:00:00 [cpuhp/3]
root        26     2    26  0    1 20:37 ?        00:00:00 [watchdog/3]
root        27     2    27  0    1 20:37 ?        00:00:00 [migration/3]
root        28     2    28  0    1 20:37 ?        00:00:00 [ksoftirqd/3]
root        30     2    30  0    1 20:37 ?        00:00:00 [kworker/3:0H]
root        31     2    31  0    1 20:37 ?        00:00:00 [cpuhp/4]
root        32     2    32  0    1 20:37 ?        00:00:00 [watchdog/4]
root        33     2    33  0    1 20:37 ?        00:00:00 [migration/4]
root        34     2    34  0    1 20:37 ?        00:00:00 [ksoftirqd/4]
root        36     2    36  0    1 20:37 ?        00:00:00 [kworker/4:0H]
root        37     2    37  0    1 20:37 ?        00:00:00 [cpuhp/5]
root        38     2    38  0    1 20:37 ?        00:00:00 [watchdog/5]
root        39     2    39  0    1 20:37 ?        00:00:00 [migration/5]
root        40     2    40  0    1 20:37 ?        00:00:00 [ksoftirqd/5]
root        42     2    42  0    1 20:37 ?        00:00:00 [kworker/5:0H]
root        43     2    43  0    1 20:37 ?        00:00:00 [cpuhp/6]
root        44     2    44  0    1 20:37 ?        00:00:00 [watchdog/6]
root        45     2    45  0    1 20:37 ?        00:00:00 [migration/6]
root        46     2    46  0    1 20:37 ?        00:00:00 [ksoftirqd/6]
root        48     2    48  0    1 20:37 ?        00:00:00 [kworker/6:0H]
root        49     2    49  0    1 20:37 ?        00:00:00 [cpuhp/7]
root        50     2    50  0    1 20:37 ?        00:00:00 [watchdog/7]
root        51     2    51  0    1 20:37 ?        00:00:00 [migration/7]
root        52     2    52  0    1 20:37 ?        00:00:00 [ksoftirqd/7]
root        54     2    54  0    1 20:37 ?        00:00:00 [kworker/7:0H]
root        55     2    55  0    1 20:37 ?        00:00:00 [kdevtmpfs]
root        56     2    56  0    1 20:37 ?        00:00:00 [netns]
root        57     2    57  0    1 20:37 ?        00:00:00 [rcu_tasks_kthre]
root        58     2    58  0    1 20:37 ?        00:00:00 [kauditd]
root        61     2    61  0    1 20:37 ?        00:00:00 [khungtaskd]
root        62     2    62  0    1 20:37 ?        00:00:00 [oom_reaper]
root        63     2    63  0    1 20:37 ?        00:00:00 [writeback]
root        64     2    64  0    1 20:37 ?        00:00:00 [kcompactd0]
root        65     2    65  0    1 20:37 ?        00:00:00 [ksmd]
root        66     2    66  0    1 20:37 ?        00:00:00 [khugepaged]
root        67     2    67  0    1 20:37 ?        00:00:00 [crypto]
root        68     2    68  0    1 20:37 ?        00:00:00 [kintegrityd]
root        69     2    69  0    1 20:37 ?        00:00:00 [kblockd]
root        76     2    76  0    1 20:37 ?        00:00:00 [ata_sff]
root        77     2    77  0    1 20:37 ?        00:00:00 [md]
root        78     2    78  0    1 20:37 ?        00:00:00 [edac-poller]
root        80     2    80  0    1 20:37 ?        00:00:00 [devfreq_wq]
root        81     2    81  0    1 20:37 ?        00:00:00 [watchdogd]
root        84     2    84  0    1 20:37 ?        00:00:00 [kswapd0]
root        85     2    85  0    1 20:37 ?        00:00:00 [ecryptfs-kthrea]
root       127     2   127  0    1 20:37 ?        00:00:00 [kthrotld]
root       128     2   128  0    1 20:37 ?        00:00:00 [acpi_thermal_pm]
root       133     2   133  0    1 20:37 ?        00:00:00 [ipv6_addrconf]
root       142     2   142  0    1 20:37 ?        00:00:00 [kstrp]
root       163     2   163  0    1 20:37 ?        00:00:00 [charger_manager]
root       220     2   220  0    1 20:37 ?        00:00:00 [irq/19-mmc0]
root       222     2   222  0    1 20:37 ?        00:00:00 [scsi_eh_0]
root       223     2   223  0    1 20:37 ?        00:00:00 [scsi_tmf_0]
root       224     2   224  0    1 20:37 ?        00:00:00 [scsi_eh_1]
root       225     2   225  0    1 20:37 ?        00:00:00 [scsi_tmf_1]
root       226     2   226  0    1 20:37 ?        00:00:00 [scsi_eh_2]
root       227     2   227  0    1 20:37 ?        00:00:00 [scsi_tmf_2]
root       228     2   228  0    1 20:37 ?        00:00:00 [scsi_eh_3]
root       229     2   229  0    1 20:37 ?        00:00:00 [scsi_tmf_3]
root       230     2   230  0    1 20:37 ?        00:00:00 [scsi_eh_4]
root       231     2   231  0    1 20:37 ?        00:00:00 [scsi_tmf_4]
root       238     2   238  0    1 20:37 ?        00:00:00 [ttm_swap]
root       239     2   239  0    1 20:37 ?        00:00:00 [kworker/u17:0]
root       240     2   240  0    1 20:37 ?        00:00:03 [i915/signal:0]
root       241     2   241  0    1 20:37 ?        00:00:00 [i915/signal:1]
root       242     2   242  0    1 20:37 ?        00:00:00 [i915/signal:2]
root       243     2   243  0    1 20:37 ?        00:00:00 [i915/signal:4]
root       246     2   246  0    1 20:37 ?        00:00:00 [kworker/1:1H]
root       249     2   249  0    1 20:37 ?        00:00:00 [kworker/6:1H]
root       293     2   293  0    1 20:37 ?        00:00:00 [jbd2/sda6-8]
root       294     2   294  0    1 20:37 ?        00:00:00 [ext4-rsv-conver]
root       332     2   332  0    1 20:37 ?        00:00:00 [kworker/3:1H]
root       336     1   336  0    1 20:37 ?        00:00:00 /lib/systemd/systemd-journald
root       341     2   341  0    1 20:37 ?        00:00:00 [kworker/0:1H]
root       359     2   359  0    1 20:37 ?        00:00:00 [kworker/2:1H]
root       366     2   366  0    1 20:37 ?        00:00:00 [kworker/7:1H]
root       368     2   368  0    1 20:37 ?        00:00:00 [kworker/4:1H]
root       369     1   369  0    1 20:37 ?        00:00:00 /lib/systemd/systemd-udevd
root       401     2   401  0    1 20:37 ?        00:00:00 [kworker/5:1H]
root       402     2   402  0    1 20:37 ?        00:00:00 [loop0]
root       403     2   403  0    1 20:37 ?        00:00:00 [loop1]
root       404     2   404  0    1 20:37 ?        00:00:00 [loop2]
root       405     2   405  0    1 20:37 ?        00:00:00 [loop3]
root       407     2   407  0    1 20:37 ?        00:00:00 [irq/23-smo8800]
root       409     2   409  0    1 20:37 ?        00:00:00 [loop4]
root       410     2   410  0    1 20:37 ?        00:00:00 [loop5]
root       417     2   417  0    1 20:37 ?        00:00:00 [loop6]
root       419     2   419  0    1 20:37 ?        00:00:00 [irq/31-mei_me]
root       511     2   511  0    1 20:37 ?        00:00:00 [cfg80211]
root       527     2   527  0    1 20:37 ?        00:00:44 [irq/32-iwlwifi]
systemd+   775     1   775  0    1 20:37 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+   776     1   776  0    2 20:37 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+   776     1   893  0    2 20:37 ?        00:00:00 /lib/systemd/systemd-timesyncd
syslog     896     1   896  0    4 20:37 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog     896     1   907  0    4 20:37 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog     896     1   908  0    4 20:37 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog     896     1   909  0    4 20:37 ?        00:00:00 /usr/sbin/rsyslogd -n
root       899     1   899  0    1 20:37 ?        00:00:01 /usr/sbin/acpid
root       900     1   900  0    1 20:37 ?        00:00:00 /usr/sbin/cron -f
root       901     1   901  0    3 20:37 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       901     1   920  0    3 20:37 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       901     1   972  0    3 20:37 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       903     1   903  0    1 20:37 ?        00:00:00 /usr/sbin/cupsd -l
avahi      904     1   904  0    1 20:37 ?        00:00:00 avahi-daemon: running [turing.local]
root       905     1   905  0    2 20:37 ?        00:00:00 /usr/sbin/thermald --no-daemon --dbus-enable
root       905     1   991  0    2 20:37 ?        00:00:00 /usr/sbin/thermald --no-daemon --dbus-enable
root       906     1   906  0    1 20:37 ?        00:00:00 /lib/systemd/systemd-logind
root       918     1   918  0    3 20:37 ?        00:00:00 /usr/sbin/ModemManager
root       918     1   924  0    3 20:37 ?        00:00:00 /usr/sbin/ModemManager
root       918     1   971  0    3 20:37 ?        00:00:00 /usr/sbin/ModemManager
root       929     1   929  0    2 20:37 ?        00:00:00 /usr/sbin/irqbalance --foreground
root       929     1   932  0    2 20:37 ?        00:00:00 /usr/sbin/irqbalance --foreground
message+   931     1   931  0    1 20:37 ?        00:00:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
avahi      955   904   955  0    1 20:37 ?        00:00:00 avahi-daemon: chroot helper
root       973     1   973  0    1 20:37 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root       980     1   980  0    3 20:37 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root       980     1  1213  0    3 20:37 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       980     1  1218  0    3 20:37 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       997     1   997  0    2 20:37 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root       997     1  1192  0    2 20:37 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root      1004     1  1004  0    5 20:37 ?        00:00:00 /usr/lib/udisks2/udisksd
root      1004     1  1045  0    5 20:37 ?        00:00:00 /usr/lib/udisks2/udisksd
